Model,AUC,AP,Acc,Prec,Rec,F1,Brier
Logistic Regression,0.7652,0.0026,0.6709,0.0026,0.7621,0.0051,0.2177
Gaussian Process,0.7652,0.0026,0.671,0.0026,0.7621,0.0051,0.2175
